record_id,city,country,date,population_millions,industrialization_index,forest_cover_percent,urbanization_rate_percent,gdp_per_capita_usd,renewable_energy_percent,vehicle_density_per_1000,green_space_area_km2,pm2_5,pm10,no2,so2,co,o3,aqi
AQI1758,Bangkok,Thailand,2024-01-08,10.37,60.3,30.7,87.9,8306.0,23.6,556.5,1.0,54.9,83.2,22.9,13.3,2.24,36.5,78.6
AQI1508,Mexico City,Mexico,2024-01-08,22.38,57.0,35.7,88.2,11525.0,14.1,424.1,3.1,56.5,89.6,33.8,13.1,2.16,24.7,84.1
AQI1207,Lahore,Pakistan,2024-01-07,11.05,73.1,13.5,85.4,1687.0,22.3,511.7,11.1,83.5,131.2,37.7,22.9,2.17,20.4,110.4
AQI2802,Ho Chi Minh City,Vietnam,2024-01-02,9.59,55.0,39.4,81.4,4512.0,12.7,422.8,24.8,49.7,69.8,19.3,13.7,1.68,40.6,71.3
AQI1620,New York,USA,2024-01-20,8.5,42.2,36.0,94.8,74047.0,58.9,335.3,35.6,34.2,52.7,24.4,3.8,1.67,40.1,57.0
AQI2201,Rome,Italy,2024-01-01,4.27,37.2,32.0,92.7,35529.0,47.6,322.5,25.5,29.3,42.4,31.9,8.4,1.62,46.6,43.0
AQI2048,London,UK,2024-02-17,9.16,34.9,30.7,95.0,49864.0,50.8,434.4,21.7,57.8,75.9,19.2,11.6,1.7,42.9,79.6
AQI1859,Istanbul,Turkey,2024-01-09,15.58,54.7,15.3,88.9,10428.0,22.0,432.0,1.0,74.2,113.5,25.4,11.9,2.33,42.2,103.0
AQI2468,Nairobi,Kenya,2024-01-18,4.3,40.1,6.0,77.8,2023.0,15.4,453.8,10.3,45.6,67.1,21.5,10.7,1.33,40.8,70.6
AQI2456,Nairobi,Kenya,2024-01-06,4.3,40.1,6.0,77.8,2023.0,15.4,453.8,10.3,56.1,89.5,18.9,14.3,1.38,34.9,84.1
AQI2635,Santiago,Chile,2024-02-04,6.58,44.2,13.9,88.4,16282.0,29.7,374.4,1.0,41.0,74.9,25.3,13.3,1.47,44.1,70.7
AQI2733,Tehran,Iran,2024-02-02,8.82,59.2,3.4,82.5,4984.0,11.8,391.7,6.0,53.5,86.2,33.7,14.5,1.8,20.8,87.8
AQI2626,Santiago,Chile,2024-01-26,6.58,44.2,13.9,88.4,16282.0,29.7,374.4,1.0,57.5,94.3,22.6,15.6,0.81,43.0,84.4
AQI1736,Moscow,Russia,2024-02-05,12.52,51.6,49.7,92.2,14053.0,36.7,426.8,24.6,36.3,64.6,24.7,7.2,2.23,45.5,73.3
AQI2921,  Stockholm  ,Sweden,2024-01-21,1.81,26.2,69.9,97.7,60164.0,51.8,336.6,37.6,5.7,9.7,14.0,1.0,1.72,14.6,20.1
AQI2448,hong kong,China,2024-02-17,7.57,46.2,47.6,99.6,46494.0,47.0,437.9,37.1,33.3,54.8,18.2,6.3,2.07,22.7,55.1
AQI1340,Jakarta,Indonesia,2024-02-09,10.45,57.5,49.8,89.5,4903.0,18.6,401.2,15.7,45.3,75.9,24.0,13.8,2.01,34.8,68.2
AQI2016,London,UK,2024-01-16,9.16,34.9,30.7,95.0,49864.0,50.8,434.4,21.7,35.0,64.6,16.6,3.2,1.64,34.6,58.0
AQI2688,Riyadh,Saudi Arabia,2024-02-07,7.97,67.1,3.6,84.6,23083.0,32.3,440.6,1.0,76.6,117.7,32.5,15.9,2.77,47.4,113.2
AQI1173,Shanghai,China,2024-01-23,24.43,69.3,25.9,90.4,25603.0,34.8,461.9,5.5,81.4,126.9,40.1,22.6,2.44,34.1,114.7
AQI2715,Tehran,Iran,2024-01-15,8.82,59.2,3.4,82.5,4984.0,11.8,391.7,6.0,69.3,103.7,39.6,15.6,2.25,47.2,100.9
AQI1263,Dhaka,Bangladesh,2024-01-13,20.95,68.2,20.6,89.0,2717.0,9.6,480.2,1.0,59.2,91.2,36.1,19.8,2.29,41.1,87.8
AQI2076,Paris,France,2024-01-26,11.3,34.0,21.1,93.6,47249.0,52.6,349.0,10.9,32.6,48.2,24.3,4.2,1.4,52.6,51.0
AQI2761,Kuala Lumpur,Malaysia,2024-01-11,8.48,52.2,55.3,93.6,11160.0,13.1,473.7,27.7,22.3,37.6,28.4,17.2,1.62,47.3,44.3
AQI2521,Johannesburg,South Africa,2024-01-21,5.55,46.2,6.9,81.4,6932.0,19.9,394.8,1.0,67.9,112.5,24.0,13.9,1.76,44.2,94.7
AQI1003,Delhi,India,2024-01-03,20.19,77.8,33.4,94.3,2582.0,11.2,593.5,14.9,67.7,99.8,38.4,21.4,2.6,38.7,97.8
AQI1675,Sao Paulo,Brazil,2024-01-25,21.91,48.2,42.3,90.6,12592.0,19.1,482.3,11.2,55.8,82.1,31.4,13.3,1.57,34.6,78.2
AQI2903,Stockholm,Sweden,2024-01-03,1.81,26.2,69.9,97.7,60164.0,51.8,336.6,37.6,3.4,13.8,16.4,1.0,0.99,11.7,19.0
AQI1501,Mexico City,Mexico,2024-01-01,22.38,57.0,35.7,88.2,11525.0,14.1,424.1,3.1,61.9,96.6,36.9,16.4,2.9,19.8,100.0
AQI1471,Lagos,Nigeria,2024-01-21,14.99,59.0,26.1,84.5,3314.0,23.4,475.8,8.3,59.1,87.3,38.6,20.7,1.78,25.8,86.1
AQI1717,Moscow,Russia,2024-01-17,12.52,51.6,49.7,92.2,14053.0,36.7,426.8,24.6,43.2,71.9,19.5,11.3,2.16,39.8,63.3
AQI2187,Madrid,Spain,2024-02-06,6.87,37.2,33.1,92.5,33551.0,34.2,385.5,21.4,32.2,55.9,22.8,11.4,1.05,45.7,64.3
AQI1218,Lahore,Pakistan,2024-01-18,11.05,73.1,13.5,85.4,1687.0,22.3,511.7,11.1,70.6,112.9,32.8,12.9,2.86,45.3,102.8
AQI1780,Bangkok,Thailand,2024-01-30,10.37,60.3,30.7,87.9,8306.0,23.6,556.5,1.0,68.1,118.8,33.7,18.9,2.21,29.0,87.5
AQI1718,Moscow,Russia,2024-01-18,12.52,51.6,49.7,92.2,14053.0,36.7,426.8,24.6,35.0,52.5,30.1,14.3,1.89,41.6,58.8
AQI2676,Riyadh,Saudi Arabia,2024-01-26,7.97,67.1,3.6,84.6,23083.0,32.3,440.6,1.0,79.6,126.8,28.1,21.8,1.74,36.2,110.8
AQI2310,Sydney,Australia,2024-01-10,5.88,29.5,47.0,94.6,56779.0,56.6,330.3,19.9,23.2,37.1,11.0,1.0,1.01,25.7,36.4
AQI2413,Hong Kong,China,2024-01-13,7.57,46.2,47.6,99.6,46494.0,47.0,437.9,37.1,38.4,64.1,20.6,5.8,2.63,28.0,64.7
AQI2086,Paris,France,2024-02-05,11.3,34.0,21.1,93.6,47249.0,52.6,349.0,10.9,41.2,64.3,21.6,9.0,1.67,47.2,57.5
AQI1329,Jakarta,Indonesia,2024-01-29,10.45,57.5,49.8,89.5,4903.0,18.6,401.2,15.7,51.8,74.7,35.2,14.6,1.95,34.0,69.1
AQI2843,Ho Chi Minh City,Vietnam,2024-02-12,9.59,55.0,39.4,81.4,4512.0,12.7,422.8,24.8,46.1,69.1,25.6,8.5,1.74,,73.8
AQI1359,Karachi,Pakistan,2024-01-09,15.59,72.9,19.0,88.0,1826.0,16.1,522.7,3.1,70.0,103.4,36.0,20.0,3.44,26.0,112.0
AQI1420,Cairo,Egypt,2024-01-20,20.65,62.5,7.3,82.7,4267.0,23.4,427.6,2.1,61.0,100.5,25.7,20.5,2.17,38.0,97.2
AQI2666,Riyadh,Saudi Arabia,2024-01-16,7.97,67.1,3.6,84.6,23083.0,32.3,440.6,1.0,72.6,112.5,28.7,16.8,2.96,35.5,109.9
AQI2105,Berlin,Germany,2024-01-05,3.43,38.5,31.6,95.6,49941.0,49.6,423.3,25.5,33.3,56.5,18.6,7.5,1.57,30.7,48.4
AQI1896,Istanbul,Turkey,2024-02-15,15.58,54.7,15.3,88.9,10428.0,22.0,432.0,1.0,68.6,112.4,28.8,9.1,2.21,41.4,95.0
AQI1956,Seoul,South Korea,2024-01-06,9.44,53.5,23.2,93.8,33071.0,41.4,409.7,5.8,53.4,85.9,29.8,20.4,1.69,25.3,76.0
AQI2241,Rome,Italy,2024-02-10,4.27,37.2,32.0,92.7,35529.0,47.6,322.5,25.5,20.3,30.2,23.9,6.0,1.95,39.5,40.1
AQI1464,Lagos,Nigeria,2024-01-14,14.99,59.0,26.1,84.5,3314.0,23.4,475.8,8.3,50.9,72.1,32.7,18.5,2.42,36.1,75.5
AQI1109,Beijing,China,2024-01-09,21.39,82.2,22.0,88.9,17964.0,12.3,481.5,12.6,76.7,114.6,43.9,24.8,2.99,47.5,119.2
AQI2226,Rome,Italy,2024-01-26,4.27,37.2,32.0,92.7,35529.0,47.6,322.5,25.5,24.8,37.6,24.7,10.6,1.38,27.8,46.9
AQI1644,New York,USA,2024-02-13,8.5,42.2,36.0,94.8,74047.0,58.9,335.3,35.6,37.3,57.6,24.4,10.0,1.35,35.3,46.9
AQI1702,Moscow,Russia,2024-01-02,12.52,51.6,49.7,92.2,14053.0,36.7,426.8,24.6,34.2,62.4,27.5,7.5,2.39,39.9,61.6
AQI2823,Ho Chi Minh City,Vietnam,2024-01-23,9.59,55.0,39.4,81.4,,12.7,422.8,24.8,51.9,92.6,29.4,20.4,1.77,33.9,78.6
AQI1557,Los Angeles,USA,2024-01-07,4.01,46.8,42.7,95.8,66782.0,47.0,384.8,40.7,50.1,75.5,14.9,8.2,1.15,41.1,58.4
AQI1128,Beijing,CHINA,2024-01-28,21.39,82.2,22.0,88.9,17964.0,12.3,481.5,12.6,93.5,149.0,43.4,24.8,2.88,32.2,135.6
AQI1397,  Karachi  ,Pakistan,2024-02-16,15.59,72.9,19.0,88.0,1826.0,16.1,522.7,3.1,94.6,161.2,48.6,19.6,2.75,22.0,144.4
AQI1913,Tokyo,Japan,2024-01-13,37.17,38.7,66.7,94.3,39161.0,45.6,363.2,28.7,22.1,39.6,23.9,2.9,1.96,5.0,30.4
AQI1729,Moscow,Russia,2024-01-29,12.52,51.6,49.7,92.2,14053.0,36.7,426.8,24.6,44.2,67.7,24.9,7.6,2.55,32.7,67.1
AQI1661,Sao Paulo,Brazil,2024-01-11,21.91,48.2,42.3,90.6,12592.0,19.1,482.3,11.2,37.9,63.5,30.0,14.3,1.91,34.0,55.5
AQI2923,Stockholm,Sweden,2024-01-23,1.81,26.2,69.9,97.7,60164.0,51.8,336.6,37.6,3.0,5.0,9.6,2.1,1.31,9.7,10.1
AQI2740,Tehran,Iran,2024-02-09,8.82,59.2,3.4,82.5,4984.0,11.8,391.7,6.0,69.0,107.8,26.8,19.6,1.96,21.6,97.2
AQI2003,London,UK,2024-01-03,9.16,34.9,30.7,95.0,49864.0,50.8,434.4,21.7,40.7,59.6,20.4,8.5,1.04,56.6,58.0
AQI1730,Moscow,RUSSIA,2024-01-30,12.52,51.6,49.7,92.2,14053.0,36.7,426.8,24.6,,73.0,22.1,9.9,2.14,38.5,64.3
AQI2074,  Paris  ,France,2024-01-24,11.3,34.0,21.1,93.6,47249.0,52.6,349.0,10.9,45.5,71.4,18.4,7.7,1.31,51.8,65.0
AQI1667,Sao Paulo,Brazil,2024-01-17,21.91,48.2,42.3,90.6,12592.0,19.1,482.3,11.2,28.8,50.8,28.4,15.0,1.82,5.0,51.2
AQI2322,Sydney,Australia,2024-01-22,5.88,29.5,47.0,94.6,56779.0,56.6,330.3,19.9,25.1,43.4,10.0,8.0,0.75,26.1,37.1
AQI2335,Sydney,Australia,2024-02-04,5.88,29.5,47.0,94.6,56779.0,56.6,330.3,19.9,20.6,45.1,8.9,5.9,1.14,29.6,33.2
AQI2585,Buenos Aires,Argentina,2024-02-04,15.51,40.7,16.2,89.5,10293.0,24.9,419.3,1.0,56.2,87.1,22.2,14.2,2.22,40.1,75.6
AQI2165,Madrid,Spain,2024-01-15,6.87,37.2,33.1,92.5,33551.0,34.2,385.5,21.4,37.8,60.4,33.0,3.8,0.99,38.4,55.9
AQI2897,Warsaw,Poland,2024-02-16,2.19,46.7,18.0,87.6,18206.0,28.6,369.0,11.4,67.5,111.0,13.6,7.9,1.71,28.0,76.3
AQI1658,Sao Paulo,Brazil,2024-01-08,21.91,48.2,42.3,90.6,12592.0,19.1,482.3,11.2,50.5,83.2,30.3,11.6,2.14,57.5,84.6
AQI2481,Nairobi,Kenya,2024-01-31,4.3,40.1,6.0,77.8,2023.0,15.4,453.8,10.3,66.7,102.8,17.2,,1.81,20.6,91.9
AQI1886,Istanbul,Turkey,2024-02-05,15.58,54.7,,88.9,10428.0,22.0,432.0,1.0,64.9,98.3,28.7,14.1,2.06,38.0,93.2
AQI2938,Stockholm,Sweden,2024-02-07,1.81,26.2,69.9,97.7,60164.0,51.8,336.6,37.6,11.1,26.6,13.2,2.2,1.14,6.4,22.1
AQI1998,Seoul,South Korea,2024-02-17,9.44,53.5,23.2,93.8,33071.0,41.4,409.7,5.8,68.5,90.2,29.4,12.9,1.48,39.6,95.0
AQI2021,London,UK,2024-01-21,9.16,34.9,30.7,95.0,49864.0,50.8,434.4,21.7,29.1,40.7,17.9,4.1,1.73,15.9,38.7
AQI2308,Sydney,Australia,2024-01-08,5.88,29.5,47.0,94.6,56779.0,56.6,330.3,19.9,9.8,13.7,23.0,6.6,1.42,17.9,22.8
AQI2034,London,UK,2024-02-03,9.16,34.9,30.7,95.0,49864.0,50.8,434.4,21.7,50.2,76.5,23.0,6.1,1.6,27.7,79.4
AQI2387,Singapore,Singapore,2024-02-06,5.42,54.4,23.4,100.0,72404.0,66.4,373.3,13.3,44.8,70.4,30.0,13.5,1.68,28.0,71.7
AQI1111,Beijing,China,2024-01-11,21.39,82.2,22.0,88.9,17964.0,12.3,481.5,12.6,67.2,113.8,41.8,25.0,2.83,37.0,109.6
AQI1769,Bangkok,Thailand,2024-01-19,10.37,60.3,30.7,87.9,8306.0,23.6,556.5,1.0,53.7,90.9,26.5,7.8,2.35,34.0,81.3
AQI1242,Lahore,Pakistan,2024-02-11,11.05,73.1,13.5,85.4,1687.0,22.3,511.7,11.1,85.4,138.8,45.8,19.5,2.49,37.8,122.8
AQI2369,Singapore,Singapore,2024-01-19,5.42,54.4,23.4,100.0,72404.0,66.4,373.3,13.3,55.9,92.4,38.1,8.8,2.14,23.4,85.1
AQI2257,Toronto,Canada,2024-01-07,2.62,28.2,28.8,91.2,50568.0,59.3,277.0,22.5,,59.8,17.1,1.0,1.1,24.1,48.1
